Taxon name,Taxonomy,Count,Proportion(%)
PAC000661_g EU842956_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;EU842956_s,235,0.3873
Oscillibacter PAC001501_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001501_s,235,0.3873
KE159538_g EF097676_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;EF097676_s,227,0.3741
LLKB_g AB626939_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;LLKB_g;AB626939_s,206,0.3395
Eubacterium_g17 PAC001119_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g17;PAC001119_s,195,0.3213
Bacteroides HM124113_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;HM124113_s,186,0.3065
PAC002368_g PAC002368_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC002368_g;PAC002368_s,168,0.2769
PAC000661_g AB185622_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;AB185622_s,166,0.2736
Eubacterium_g17 PAC002487_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g17;PAC002487_s,162,0.267
KE159538_g PAC001120_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001120_s,161,0.2653
PAC000661_g PAC001777_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001777_s group,155,0.2554
PAC000664_g PAC001083_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC001083_s,150,0.2472
PAC001456_g PAC001456_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001456_g;PAC001456_s,137,0.2258
Pseudoflavonifractor PAC001550_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001550_s,135,0.2225
PAC001375_g PAC001375_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001375_g;PAC001375_s,129,0.2126
PAC000198_g PAC001075_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000198_g;PAC001075_s,126,0.2076
LLKB_g PAC001694_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;LLKB_g;PAC001694_s,125,0.206
KE159571_g PAC002009_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;PAC002009_s group,123,0.2027
Muribaculum DQ815542_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;DQ815542_s,118,0.1945
PAC000186_g PAC001128_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001128_s,115,0.1895
KE159538_g PAC001708_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001708_s,113,0.1862
PAC001092_g PAC001092_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001092_g;PAC001092_s,108,0.178
Bacteroides vulgatus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus,105,0.173
Alistipes PAC001061_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;PAC001061_s,104,0.1714
Roseburia PAC001271_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;PAC001271_s,98,0.1615
Pseudoflavonifractor PAC001087_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001087_s,94,0.1549
PAC001112_g PAC001267_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001112_g;PAC001267_s,94,0.1549
PAC000661_g PAC001536_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001536_s,91,0.15
Ruminococcus PAC001122_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;PAC001122_s,90,0.1483
KE159538_g PAC002428_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC002428_s,88,0.145
Enterorhabdus PAC002410_s,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus;PAC002410_s,86,0.1417
PAC001762_g EF096150_s,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;PAC001762_g;EF096150_s,82,0.1351
PAC000186_g EF406572_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;EF406572_s,80,0.1318
Eubacterium_g8 PAC002357_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Eubacterium_g8;PAC002357_s,75,0.1236
PAC000661_g AF371820_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;AF371820_s,73,0.1203
Bacteroides faecichinchillae,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecichinchillae,73,0.1203
Anaerotruncus KE159677_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;KE159677_s,70,0.1154
Acetatifactor PAC002332_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;PAC002332_s,67,0.1104
PAC001043_g PAC002511_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001043_g;PAC002511_s group,67,0.1104
KE159538_g FJ881185_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;FJ881185_s,64,0.1055
PAC001199_g PAC001746_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001199_g;PAC001746_s,63,0.1038
Enterorhabdus mucosicola,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus;Enterorhabdus mucosicola,62,0.1022
PAC000687_g PAC000687_s,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;PAC000687_g;PAC000687_s,62,0.1022
Oscillibacter PAC001522_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001522_s,62,0.1022
PAC000692_g PAC001567_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000692_g;PAC001567_s,62,0.1022
PAC000661_g EU462785_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;EU462785_s,61,0.1005
Eubacterium_g6 JQ083736_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g6;JQ083736_s,61,0.1005
PAC000661_g PAC002496_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC002496_s,61,0.1005
Pseudoflavonifractor KI535319_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;KI535319_s,60,0.0989
Agathobaculum PAC001688_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Agathobaculum;PAC001688_s,60,0.0989
PAC001068_g EF097112_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001068_g;EF097112_s,58,0.0956
PAC001043_g PAC001552_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001043_g;PAC001552_s,55,0.0906
Bacteroides DQ805799_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;DQ805799_s,54,0.089
Jeotgalicoccus halotolerans group,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;Jeotgalicoccus halotolerans group,54,0.089
Oscillibacter PAC001186_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001186_s group,54,0.089
KE159605_g PAC002401_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159605_g;PAC002401_s group,54,0.089
PAC001109_g AB626901_s,Bacteria;Tenericutes;Mollicutes;PAC001057_o;PAC001057_f;PAC001109_g;AB626901_s,49,0.0807
Enterorhabdus muris,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus;Enterorhabdus muris,48,0.0791
PAC001092_g PAC001517_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001092_g;PAC001517_s,47,0.0775
Oscillibacter PAC001638_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001638_s,47,0.0775
PAC001108_g PAC001108_s,Bacteria;Tenericutes;Mollicutes;PAC001057_o;PAC001057_f;PAC001108_g;PAC001108_s,46,0.0758
Clostridium_g24 PAC001374_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;PAC001374_s,46,0.0758
PAC002314_g PAC002314_s,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;PAC002314_g;PAC002314_s,45,0.0742
Bacteroides xylanisolvens group,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens group,44,0.0725
Parabacteroides goldsteinii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides goldsteinii,42,0.0692
Eubacterium_g4 PAC001174_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g4;PAC001174_s,41,0.0676
Pseudoflavonifractor PAC001786_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001786_s,41,0.0676
Oscillibacter PAC001188_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001188_s,40,0.0659
PAC000661_g PAC001329_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001329_s,40,0.0659
PAC001112_g PAC001359_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001112_g;PAC001359_s,40,0.0659
KE159538_g PAC001696_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001696_s,40,0.0659
Eubacterium_g23 PAC001121_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Eubacterium_g23;PAC001121_s group,39,0.0643
PAC001138_g PAC001518_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001138_g;PAC001518_s,39,0.0643
Pseudoflavonifractor PAC001379_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001379_s,38,0.0626
Parasutterella excrementihominis group,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;Parasutterella excrementihominis group,38,0.0626
PAC002400_g EF096814_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC002400_g;EF096814_s,37,0.061
PAC000661_g EF434365_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;EF434365_s,37,0.061
KE159605_g KB822463_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159605_g;KB822463_s,37,0.061
PAC001402_g PAC001546_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC001402_g;PAC001546_s,37,0.061
PAC000661_g PAC001785_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001785_s,37,0.061
Bacteroides uniformis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis,36,0.0593
Flintibacter butyricus group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;Flintibacter butyricus group,36,0.0593
Mucispirillum schaedleri,Bacteria;Deferribacteres;Deferribacteres_c;Deferribacterales;Deferribacteraceae;Mucispirillum;Mucispirillum schaedleri,36,0.0593
PAC000692_g PAC000692_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000692_g;PAC000692_s,36,0.0593
PAC000661_g PAC001182_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001182_s,36,0.0593
PAC001679_g PAC001679_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001679_g;PAC001679_s,35,0.0577
PAC000197_g EF406725_s,Bacteria;Tenericutes;Mollicutes;PAC001057_o;PAC000197_f;PAC000197_g;EF406725_s,34,0.056
Acetatifactor FJ879577_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;FJ879577_s,34,0.056
Emergencia PAC001235_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacterium_f;Emergencia;PAC001235_s,34,0.056
Oscillibacter PAC002110_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC002110_s,32,0.0527
PAC001228_g PAC002027_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001228_g;PAC002027_s,31,0.0511
Caproiciproducens EU622658_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Caproiciproducens;EU622658_s,29,0.0478
Anaerotignum PAC001540_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotignum;PAC001540_s,28,0.0461
PAC001516_g PAC002384_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001516_g;PAC002384_s,28,0.0461
PAC001200_g PAC001554_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001200_g;PAC001554_s,27,0.0445
PAC001362_g PAC001362_s,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;PAC001362_g;PAC001362_s,25,0.0412
PAC001165_g PAC001366_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001165_g;PAC001366_s,25,0.0412
PAC000661_g PAC001202_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001202_s,24,0.0396
Clostridium_g24 PAC001376_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;PAC001376_s,24,0.0396
PAC001468_g PAC001731_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC001468_g;PAC001731_s,24,0.0396
Frisingicoccus PAC001744_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Frisingicoccus;PAC001744_s group,24,0.0396
PAC002042_g PAC002042_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC002042_g;PAC002042_s,24,0.0396
PAC001457_g PAC001495_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001457_g;PAC001495_s group,23,0.0379
Clostridium_g24 PAC000183_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;PAC000183_s,22,0.0363
KE159571_g PAC001776_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;PAC001776_s group,22,0.0363
PAC001092_g PAC002030_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001092_g;PAC002030_s,22,0.0363
Anaerotignum AF157052_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotignum;AF157052_s,21,0.0346
Pseudoflavonifractor FJ879979_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;FJ879979_s,21,0.0346
Oscillibacter PAC001526_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001526_s,21,0.0346
PAC000692_g PAC001760_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000692_g;PAC001760_s,21,0.0346
PAC002454_g PAC002454_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC002454_g;PAC002454_s,21,0.0346
PAC000672_g HM123911_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000672_g;HM123911_s,20,0.033
KE159571_g KE159641_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;KE159641_s,20,0.033
Clostridium_g21 KE159781_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g21;KE159781_s,20,0.033
PAC001068_g PAC001068_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001068_g;PAC001068_s,20,0.033
Pseudoflavonifractor PAC001549_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001549_s,20,0.033
PAC000692_g PAC001666_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000692_g;PAC001666_s,20,0.033
Coprobacillus PAC002396_s,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus;PAC002396_s,20,0.033
PAC000661_g AY858424_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;AY858424_s,19,0.0313
PAC000661_g PAC001312_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001312_s,19,0.0313
PAC001402_g PAC001561_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC001402_g;PAC001561_s,19,0.0313
PAC000661_g PAC002012_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC002012_s,19,0.0313
Kineothrix alysoides,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Kineothrix;Kineothrix alysoides,18,0.0297
PAC001221_g PAC001221_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacterium_f;PAC001221_g;PAC001221_s,18,0.0297
PAC001266_g PAC001266_s,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;PAC001266_g;PAC001266_s,18,0.0297
PAC001043_g PAC001703_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001043_g;PAC001703_s,18,0.0297
Pseudoflavonifractor PAC002302_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC002302_s,18,0.0297
PAC000661_g PAC002358_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC002358_s,18,0.0297
KE159628_g KE159628_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159628_g;KE159628_s,17,0.028
PAC001372_g PAC001372_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001372_g;PAC001372_s,17,0.028
PAC001762_g PAC001762_s,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;PAC001762_g;PAC001762_s,17,0.028
PAC001360_g PAC002505_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;PAC001360_g;PAC002505_s,17,0.028
PAC000661_g PAC002514_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC002514_s group,17,0.028
Streptococcus danieliae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus danieliae,17,0.028
KE159797_g PAC001222_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159797_g;PAC001222_s,16,0.0264
PAC001524_g PAC001524_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001524_g;PAC001524_s,16,0.0264
PAC001609_g PAC001650_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacterium_f;PAC001609_g;PAC001650_s,16,0.0264
Acetatifactor PAC001801_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;PAC001801_s,16,0.0264
EU456594_g EU456594_s,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;EU456594_g;EU456594_s,15,0.0247
PAC001360_g GQ157859_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;PAC001360_g;GQ157859_s,15,0.0247
Oscillibacter KE159714_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;KE159714_s group,15,0.0247
Lactobacillus satsumensis,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus satsumensis,15,0.0247
Oscillibacter PAC001684_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001684_s,15,0.0247
LT706945_g PAC001747_s,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;LT706945_g;PAC001747_s,15,0.0247
PAC001043_g PAC001752_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001043_g;PAC001752_s,15,0.0247
Bacteroides stercorirosoris,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercorirosoris,14,0.0231
PAC000661_g DQ456215_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;DQ456215_s,14,0.0231
FR888536_g PAC001268_s,Bacteria;Cyanobacteria;Vampirovibrio_c;FR888536_o;FR888536_f;FR888536_g;PAC001268_s,14,0.0231
PAC001287_g PAC001287_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001287_g;PAC001287_s,14,0.0231
Massilioclostridium PAC001521_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Massilioclostridium;PAC001521_s,14,0.0231
PAC001092_g PAC001710_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001092_g;PAC001710_s,14,0.0231
Clostridium_g21 PAC001757_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g21;PAC001757_s group,14,0.0231
Clostridium_g24 AF371567_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;AF371567_s,13,0.0214
Escherichia coli group,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli group,13,0.0214
