Taxon name,Taxonomy,Count,Proportion(%)
PAC000661_g EF434365_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;EF434365_s,55,0.0924
Oscillibacter PAC001186_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001186_s group,55,0.0924
Bacteroides DQ805799_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;DQ805799_s,54,0.0907
PAC001165_g PAC001366_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001165_g;PAC001366_s,54,0.0907
PAC000661_g PAC001536_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001536_s,54,0.0907
PAC000661_g AF371820_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;AF371820_s,53,0.0891
PAC001762_g EF096150_s,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;PAC001762_g;EF096150_s,52,0.0874
PAC001112_g PAC001267_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001112_g;PAC001267_s,52,0.0874
PAC000664_g PAC002004_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC002004_s group,52,0.0874
PAC001091_g PAC001558_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001091_g;PAC001558_s,50,0.084
PAC001199_g PAC001746_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001199_g;PAC001746_s,50,0.084
Flintibacter butyricus group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;Flintibacter butyricus group,49,0.0823
KE159600_g PAC001459_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159600_g;PAC001459_s,49,0.0823
KE159628_g KE159628_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159628_g;KE159628_s,47,0.079
PAC001199_g DQ777929_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001199_g;DQ777929_s,46,0.0773
PAC000692_g PAC001567_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000692_g;PAC001567_s,46,0.0773
KE159571_g PAC001604_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;PAC001604_s,45,0.0756
Oscillibacter PAC001522_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001522_s,43,0.0723
Oscillibacter PAC002110_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC002110_s,43,0.0723
Bacteroides faecichinchillae,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecichinchillae,42,0.0706
KE159605_g KE159605_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159605_g;KE159605_s,42,0.0706
Pseudoflavonifractor KI535319_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;KI535319_s,41,0.0689
Frisingicoccus PAC001744_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Frisingicoccus;PAC001744_s group,41,0.0689
Enterorhabdus mucosicola,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus;Enterorhabdus mucosicola,40,0.0672
Pseudoflavonifractor PAC001087_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001087_s,40,0.0672
Pseudoflavonifractor PAC001549_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001549_s,39,0.0655
Phocea PAC001158_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Phocea;PAC001158_s,38,0.0639
PAC000661_g PAC001329_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001329_s,38,0.0639
Clostridium_g24 PAC001374_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;PAC001374_s,38,0.0639
PAC001456_g PAC001456_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001456_g;PAC001456_s,38,0.0639
Eubacterium_g8 PAC002357_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Eubacterium_g8;PAC002357_s,37,0.0622
Eubacterium_g17 PAC002487_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g17;PAC002487_s,37,0.0622
PAC001588_g PAC001588_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001588_g;PAC001588_s,36,0.0605
PAC001389_g PAC001389_s,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;PAC001389_g;PAC001389_s,35,0.0588
PAC000664_g PAC001535_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC001535_s group,35,0.0588
Enterorhabdus muris,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus;Enterorhabdus muris,34,0.0571
Lactobacillus satsumensis,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus satsumensis,34,0.0571
KE159538_g PAC001708_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001708_s,34,0.0571
PAC001468_g PAC001731_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC001468_g;PAC001731_s,34,0.0571
PAC002368_g PAC002368_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC002368_g;PAC002368_s,34,0.0571
PAC000664_g EU504374_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;EU504374_s,32,0.0538
Clostridium_g21 PAC001757_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g21;PAC001757_s group,32,0.0538
PAC001043_g PAC002511_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001043_g;PAC002511_s group,32,0.0538
Eubacterium_g6 JQ083736_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g6;JQ083736_s,31,0.0521
KE159571_g PAC001776_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;PAC001776_s group,31,0.0521
Pseudoflavonifractor PAC001786_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001786_s,31,0.0521
Clostridium cocleatum,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Clostridium_g6;Clostridium cocleatum,30,0.0504
Kineothrix alysoides,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Kineothrix;Kineothrix alysoides,30,0.0504
Bacteroides uniformis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis,29,0.0487
PAC000186_g EF406572_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;EF406572_s,29,0.0487
PAC000692_g PAC000692_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000692_g;PAC000692_s,29,0.0487
PAC000661_g PAC001312_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001312_s,29,0.0487
PAC001092_g PAC001381_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001092_g;PAC001381_s,29,0.0487
Parabacteroides goldsteinii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides goldsteinii,29,0.0487
PAC001360_g GQ157859_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;PAC001360_g;GQ157859_s,28,0.0471
PAC001372_g PAC001372_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001372_g;PAC001372_s,28,0.0471
PAC001402_g PAC001546_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC001402_g;PAC001546_s,28,0.0471
Pseudoflavonifractor PAC001548_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001548_s,28,0.0471
Anaerotruncus KE159677_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;KE159677_s,27,0.0454
Bacteroides DQ799557_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;DQ799557_s,26,0.0437
PAC001103_g PAC001361_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001103_g;PAC001361_s,26,0.0437
PAC001068_g EF097112_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001068_g;EF097112_s,25,0.042
Massilioclostridium PAC001521_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Massilioclostridium;PAC001521_s,25,0.042
PAC000692_g PAC001760_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000692_g;PAC001760_s,25,0.042
PAC001092_g PAC001382_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001092_g;PAC001382_s,23,0.0386
KE159571_g PAC001933_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;PAC001933_s,23,0.0386
PAC001516_g PAC002466_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001516_g;PAC002466_s,23,0.0386
KE159571_g DQ815838_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;DQ815838_s,22,0.037
Sporobacter PAC001096_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter;PAC001096_s,22,0.037
Roseburia PAC001271_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;PAC001271_s,22,0.037
PAC001308_g DQ815557_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001308_g;DQ815557_s,21,0.0353
KE159600_g EU511112_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159600_g;EU511112_s,21,0.0353
PAC001609_g PAC001650_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacterium_f;PAC001609_g;PAC001650_s,21,0.0353
PAC002400_g EF096814_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC002400_g;EF096814_s,20,0.0336
Clostridium_g21 PAC001085_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g21;PAC001085_s,20,0.0336
PAC000661_g PAC001182_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001182_s,20,0.0336
PAC001287_g PAC001287_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001287_g;PAC001287_s,20,0.0336
Pseudoflavonifractor PAC001543_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001543_s,20,0.0336
FR888536_g PAC001797_s,Bacteria;Cyanobacteria;Vampirovibrio_c;FR888536_o;FR888536_f;FR888536_g;PAC001797_s,20,0.0336
Pseudoflavonifractor PAC002302_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC002302_s,20,0.0336
PAC000661_g PAC002422_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC002422_s,20,0.0336
Pseudoflavonifractor PAC002490_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC002490_s,20,0.0336
Anaerotignum AF157052_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotignum;AF157052_s,19,0.0319
Eubacterium_g17 PAC001571_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g17;PAC001571_s,19,0.0319
PAC001296_g PAC001601_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001296_g;PAC001601_s,19,0.0319
KE159605_g PAC002401_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159605_g;PAC002401_s group,19,0.0319
Acetatifactor FJ879577_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;FJ879577_s,18,0.0302
KE159571_g KE159571_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;KE159571_s,18,0.0302
PAC001221_g PAC001221_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacterium_f;PAC001221_g;PAC001221_s,18,0.0302
PAC001092_g PAC001710_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001092_g;PAC001710_s,18,0.0302
PAC001043_g PAC001752_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001043_g;PAC001752_s,18,0.0302
KE159571_g PAC002009_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;PAC002009_s group,18,0.0302
PAC000664_g PAC001104_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC001104_s,17,0.0286
Eubacterium_g4 PAC001174_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g4;PAC001174_s,17,0.0286
Sporobacter PAC001257_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter;PAC001257_s,17,0.0286
PAC001200_g PAC001554_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001200_g;PAC001554_s,17,0.0286
PAC000692_g PAC001666_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000692_g;PAC001666_s,17,0.0286
PAC000661_g PAC001782_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001782_s,17,0.0286
Acetatifactor muris,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Acetatifactor muris,16,0.0269
PAC001236_g PAC001767_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacterium_f;PAC001236_g;PAC001767_s,16,0.0269
